MovieID|Title|Genre|Director|ReleaseYear|Rating|Actors
1|The Shawshank Redemption|Drama|Frank Darabont|1994|9.3|Tim Robbins,Morgan Freeman
2|The Godfather|Crime|Francis Ford Coppola|1972|9.2|Marlon Brando,Al Pacino,James Caan
3|The Dark Knight|Action,Crime,Drama|Christopher Nolan|2008|9.0|Christian Bale,Heath Ledger,Aaron Eckhart
4|Pulp Fiction|Crime,Drama|Quentin Tarantino|1994|8.9|John Travolta,Uma Thurman,Samuel L. Jackson
5|Schindler's List|Biography,Drama,History|Steven Spielberg|1993|9.0|Liam Neeson,Ralph Fiennes,Ben Kingsley
6|The Lord of the Rings: The Return of the King|Adventure,Drama,Fantasy|Peter Jackson|2003|9.0|Elijah Wood,Viggo Mortensen,Ian McKellen
7|Fight Club|Drama|David Fincher|1999|8.8|Brad Pitt,Edward Norton,Helena Bonham Carter
8|Forrest Gump|Comedy,Drama,Romance|Robert Zemeckis|1994|8.8|Tom Hanks,Robin Wright,Gary Sinise
9|Inception|Action,Adventure,Sci-Fi|Christopher Nolan|2010|8.8|Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
10|The Matrix|Action,Sci-Fi|Lana Wachowski,Lilly Wachowski|1999|8.7|Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
